type,name,mean_ms,median_ms,std_ms,n,pct_of_e2e
component,text_encoder,12.4358,12.3817,0.2348,50,22.41
component,vision,25.9336,25.6348,1.0948,50,46.73
component,vision_language_interaction,12.2408,12.1677,0.1696,50,22.06
component,action_head,4.0391,4.0325,0.0482,50,7.28
component,end_to_end,55.4970,55.0431,1.4208,50,100.00
layer,dinov3.layer.0,1.0945,1.1167,0.1101,100,
layer,dinov3.layer.1,1.0656,1.0926,0.1075,100,
layer,dinov3.layer.2,1.0563,1.0916,0.0965,100,
layer,dinov3.layer.3,1.0522,1.0865,0.0951,100,
layer,dinov3.layer.4,1.0507,1.0813,0.0980,100,
layer,dinov3.layer.5,1.0489,1.0793,0.0939,100,
layer,dinov3.layer.6,1.0519,1.0813,0.0975,100,
layer,dinov3.layer.7,1.0473,1.0767,0.0936,100,
layer,dinov3.layer.8,1.0441,1.0460,0.0945,100,
layer,dinov3.layer.9,1.0440,1.0726,0.0873,100,
layer,dinov3.layer.10,1.0514,1.0762,0.1224,100,
layer,dinov3.layer.11,1.0503,1.0752,0.1066,100,
layer,bert.layer.0,0.9827,0.9595,0.0692,50,
layer,bert.layer.1,0.9588,0.9160,0.1612,50,
layer,bert.layer.2,0.9231,0.9016,0.0707,50,
layer,bert.layer.3,0.9202,0.8991,0.0703,50,
layer,bert.layer.4,0.9359,0.9006,0.1295,50,
layer,bert.layer.5,0.9142,0.8980,0.0608,50,
layer,bert.layer.6,0.9155,0.8965,0.0599,50,
layer,bert.layer.7,0.9139,0.8991,0.0546,50,
layer,bert.layer.8,0.9111,0.8960,0.0567,50,
layer,bert.layer.9,0.9074,0.8940,0.0560,50,
layer,bert.layer.10,0.9226,0.9001,0.0778,50,
layer,bert.layer.11,0.9088,0.8919,0.0620,50,
layer,interaction.fusion.0,1.2991,1.2636,0.0993,50,
layer,interaction.fusion.1,1.2364,1.2211,0.0746,50,
layer,interaction.fusion.2,1.2346,1.2099,0.0901,50,
layer,interaction.fusion.3,1.2304,1.2119,0.0792,50,
layer,interaction.fusion.4,1.2250,1.2042,0.0891,50,
layer,interaction.fusion.5,1.2278,1.2052,0.0890,50,
layer,interaction.text.0,0.9656,0.9349,0.0930,50,
layer,interaction.text.1,0.9426,0.9155,0.1164,50,
layer,interaction.text.2,0.9178,0.9068,0.0539,50,
layer,interaction.text.3,0.9178,0.9052,0.0531,50,
layer,interaction.text.4,0.9168,0.9062,0.0515,50,
layer,interaction.text.5,0.9144,0.9032,0.0520,50,
layer,action_decoder.layer.0,1.2186,1.1853,0.1082,50,
layer,action_decoder.layer.1,1.1885,1.1658,0.0799,50,
layer,action_decoder.layer.2,1.1927,1.1617,0.0843,50,
