type,name,mean_ms,median_ms,std_ms,n,pct_of_e2e
component,text_encoder,9.0656,8.9155,0.5129,50,19.27
component,vision,25.4088,25.1535,1.0992,50,54.02
component,vision_language_interaction,9.2137,9.1566,0.2768,50,19.59
component,action_head,2.7027,2.6732,0.1245,50,5.75
component,end_to_end,47.0383,46.5582,1.5638,50,100.00
layer,dinov3.layer.0,1.0586,1.0988,0.0780,100,
layer,dinov3.layer.1,1.0305,1.0711,0.0716,100,
layer,dinov3.layer.2,1.0260,1.0634,0.0753,100,
layer,dinov3.layer.3,1.0232,1.0634,0.0710,100,
layer,dinov3.layer.4,1.0249,1.0644,0.0817,100,
layer,dinov3.layer.5,1.0231,1.0639,0.0754,100,
layer,dinov3.layer.6,1.0210,1.0624,0.0726,100,
layer,dinov3.layer.7,1.0216,1.0588,0.0786,100,
layer,dinov3.layer.8,1.0273,1.0604,0.0778,100,
layer,dinov3.layer.9,1.0215,1.0568,0.0716,100,
layer,dinov3.layer.10,1.0181,1.0552,0.0707,100,
layer,dinov3.layer.11,1.0132,1.0542,0.0682,100,
layer,bert.layer.0,0.6836,0.6815,0.0385,50,
layer,bert.layer.1,0.6400,0.6415,0.0221,50,
layer,bert.layer.2,0.6269,0.6272,0.0242,50,
layer,bert.layer.3,0.6252,0.6277,0.0201,50,
layer,bert.layer.4,0.6273,0.6282,0.0260,50,
layer,bert.layer.5,0.6248,0.6267,0.0350,50,
layer,bert.layer.6,0.6204,0.6226,0.0232,50,
layer,bert.layer.7,0.6238,0.6267,0.0282,50,
layer,bert.layer.8,0.6210,0.6236,0.0250,50,
layer,bert.layer.9,0.6195,0.6231,0.0238,50,
layer,bert.layer.10,0.6266,0.6272,0.0227,50,
layer,bert.layer.11,0.6201,0.6236,0.0243,50,
layer,interaction.fusion.0,0.9456,0.9380,0.0331,50,
layer,interaction.fusion.1,0.9267,0.9242,0.0237,50,
layer,interaction.fusion.2,0.9201,0.9165,0.0233,50,
layer,interaction.fusion.3,0.9226,0.9175,0.0396,50,
layer,interaction.fusion.4,0.9180,0.9119,0.0301,50,
layer,interaction.fusion.5,0.9203,0.9180,0.0185,50,
layer,interaction.text.0,0.7277,0.7209,0.0395,50,
layer,interaction.text.1,0.7026,0.7060,0.0233,50,
layer,interaction.text.2,0.7050,0.7025,0.0247,50,
layer,interaction.text.3,0.6979,0.6999,0.0207,50,
layer,interaction.text.4,0.6994,0.6989,0.0201,50,
layer,interaction.text.5,0.6991,0.7045,0.0191,50,
layer,action_decoder.layer.0,0.8072,0.8054,0.0242,50,
layer,action_decoder.layer.1,0.7904,0.7916,0.0191,50,
layer,action_decoder.layer.2,0.7821,0.7844,0.0164,50,
